,Year,country,language,production_co,runtime,budget,gross_usa,director_0,director_1,rating,star_0,star_1,star_2,star_3,writer_0,writer_1,writer_2,review_count,title,open_week,cumulative,mpaa_rating,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Reality-TV,Romance,Sci-Fi,Sport,Thriller,Western,War
270,2018,USA,English,0,0.0,5000.0,0.0,Mark Haber,0,87.0,Farrah Mackenzie,Andy Mackenzie,Sasha Alexander,,Mark Haber,0,0,15.0,Amanda McKay,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,2018,USA,English, Reel One Entertainment,0.0,400000.0,0.0,Sam Irvin,0,50.0,Diora Baird,Blanche Baker,Abbie Gayle,,Mark Sanderson,0,0,83.0,My Daughter Vanished,0.0,0.0,TV-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
272,2018,Poland,Polish, Polski Instytut Sztuki Filmowej,101.0,0.0,0.0,Bartlomiej Ignaciuk,0,57.0,Przemyslaw Bogdanowicz,Sylwia Borowska,Marta Bryla,,Piotr Bronowski,Katarzyna Krzysztopik,0,363.0,Podatek od milosci,0.0,6134686.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
273,2018,Dominican Republic,Spanish, Frío Frío,96.0,115126396.0,0.0,Tabaré Blanchard,0,82.0,Manny Perez,Pepe Sierra,Richard Douglas,,Tabaré Blanchard,Marien Zagarella,,367.0,Veneno,0.0,1897.0,TV-14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
274,2018,Japan,Japanese, Chubu-nippon Broadcasting Company (CBC),119.0,0.0,0.0,Katsuo Fukuzawa,0,71.0,Hiroshi Abe,Junpei Mizobata,Rena Tanaka,,Keigo Higashino,Jeong-mi Lee,0,627.0,Inori no maku ga oriru toki,0.0,23141505.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
275,2018,Russia,Russian, KIT Film Studio,98.0,0.0,0.0,Dmitriy Tyurin,0,53.0,Kristina Brodskaya,Aleksandr Korshunov,Elena Lyadova,,Aleksandr Shevtsov,0,0,288.0,Rubezh,0.0,1537478.0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
276,2018,New Zealand,English, Knights of Renesmee Pictures,137.0,25.0,0.0,Andrew Duncanson,0,41.0,Samuel Nicholson,Liam Duncanson,Daniel Nicholson,,Jonathan Hales,George Lucas,0,7.0,Attack of the Clones Special Edition: Fan Film,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
277,2019,Italy,English, Gruppo Alcuni,85.0,10000000.0,19978.0,Sergio Manfio,0,50.0,Johnny Yong Bosch,Cherami Leigh,Bryce Papenbrook,,Anna Manfio,Francesco Manfio,,348.0,Leo Da Vinci: Mission Mona Lisa,1997842019.0,2588859.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
278,2018,India,Bengali, Catherine Dussart Productions (CDP),90.0,320000.0,0.0,Aditya Vikram Sengupta,0,72.0,Ratnabali Bhattacharjee,Lolita Chatterjee,Sumanto Chattopadhyay,,Aditya Vikram Sengupta,0,0,134.0,Jonaki,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,2019,Brazil,French, Bagaceira,82.0,30000.0,0.0,Pedro Diogenes,Guto Parente,71.0,Yuri Yamamoto,Demick Lopes,Samya De Lavor,,Pedro Diogenes,Guto Parente,,166.0,Inferninho,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,2018,India,Hindi, UV Films,110.0,80000000.0,0.0,Subroto Paul,Pradeep Rangwani,38.0,Ashmit Patel,Manjari Fadnnis,Manisha Kelkar,,Amit Khan,0,0,110.0,Nirdosh,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
281,2018,Thailand,Thai, Exformat Films,0.0,230000000.0,0.0,Pongsa Kornsri,Gun Phansuwon,78.0,Kanokchat Manyaton,Savitree Suttichanond,Sirichai Charoenkijtanakul,,Nat Yoswatananont,Bryan Edward Hill,,1116.0,9 Satra,0.0,392295.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,2018,Costa Rica,Spanish, Pacific Invesment Corporation,95.0,1400000.0,0.0,Prabhakar Sharan,0,58.0,Prabhakar Sharan,Mario Chacón,Scott Steiner,,Prabhakar Sharan,0,0,27.0,"Enredados, La confusión",0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,2018,India,Malayalam, Ambalakkara Films,146.0,0.0,0.0,Shyamaprasad,0,68.0,Nivin Pauly,Trisha Krishnan,Siddique,,George Kanatt,Nirmal Sahadev,0,909.0,Hey Jude,0.0,94029.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,2018,Lithuania,Lithuanian, Kino Gamyba,128.0,0.0,0.0,Audrius Juzenas,0,72.0,Aldona Bendoriute,Monika Biciunaite,Daumantas Ciunis,,Pranas Morkus,0,0,507.0,Peledu kalnas,0.0,549006.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,2018,Brazil,Portuguese, Grafo Audiovisual,100.0,3000000.0,0.0,Aly Muritiba,0,65.0,Giovanni de Lorenzi,Tifanny Dopke,Enrique Diaz,,Aly Muritiba,Jessica Candal,0,442.0,Ferrugem,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,2018,France,French, CG Cinéma,105.0,0.0,0.0,Emmanuel Gillibert,0,53.0,Arnaud Ducret,Louise Bourgoin,Timéo Bolland,,Emmanuel Gillibert,Marion Thiéry,0,634.0,"Les dents, pipi et au lit",0.0,3769078.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,2018,China,Cantonese, China 3D Digital Entertainment,101.0,0.0,208351.0,Jeff Cheung,Jeff Cheung,45.0,Chi Wah Wong,Charmaine Sheh,Cecilia So,,Chi Wah Wong,0,0,373.0,Agent Mr. Chan,62234252018.0,208351.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
288,2018,India,Tamil, B Studios,100.0,0.0,0.0,Bala,0,69.0,Ivana,Jyotika,Nandhagopala Krishnan,,Bala,0,0,647.0,Naachiyaar,0.0,82191.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
289,2018,USA,English," Point Of View Pictures, Scott Hellon",90.0,0.0,70045.0,Angelo Lopes,0,26.0,Brendan Guy Murphy,Carol Cardenas,Jon Proudstar,,Angelo Lopes,0,0,155.0,Wastelander,20768142018.0,70045.0,   R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
290,2018,USA,English, Gorilla Tree Film Co,88.0,250000.0,0.0,Garrett Kruithof,0,29.0,Drew Rin Varick,Ashley Dulaney,Jessica Lynn Parsons,,Eric Gibson,Garrett Kruithof,,209.0,Devil's Acid,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
