,Year,country,language,production_co,runtime,budget,gross_usa,director_0,director_1,rating,star_0,star_1,star_2,star_3,writer_0,writer_1,writer_2,review_count,title,open_week,cumulative,mpaa_rating,Adventure,Animation,Biography,Comedy,Crime,Drama,Film-Noir,Horror,Mystery,Western,Action,Family,Fantasy,History,Music,Musical,Romance,Sci-Fi,Sport,Thriller,War
201,2005,UK,English, United Artists,121.0,17500000.0,23530892.0,Terry George,0,81.0,Don Cheadle,Sophie Okonedo,Joaquin Phoenix,,Keir Pearson,Terry George,0,319367.0,Hotel Rwanda,100091262004.0,33882243.0,PG-13,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
202,1954,USA,English, Horizon Pictures,108.0,910000.0,0.0,Elia Kazan,0,81.0,Marlon Brando,Karl Malden,Lee J. Cobb,,Budd Schulberg,Budd Schulberg,,132174.0,On the Waterfront,0.0,0.0,Not Rated,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
203,1950,USA,English, Twentieth Century Fox,138.0,1400000.0,63463.0,Joseph L. Mankiewicz,0,82.0,Bette Davis,Anne Baxter,George Sanders,,Joseph L. Mankiewicz,0,0,112546.0,All About Eve,1017782000.0,150438.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,2002,Hong Kong,Cantonese, Media Asia Films,101.0,6428966.0,169659.0,Andrew Lau,Alan Mak,81.0,Andy Lau,Tony Chiu-Wai Leung,Anthony Chau-Sang Wong,,Alan Mak,Felix Chong,0,113521.0,Infernal Affairs,25680262004.0,8836958.0,   R,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
205,1996,France,French, Canal+,98.0,2590000.0,280859.0,Mathieu Kassovitz,0,81.0,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,,Mathieu Kassovitz,0,0,135799.0,La Haine,0.0,280859.0,Not Rated,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,1976,USA,English, Metro-Goldwyn-Mayer (MGM),121.0,3800000.0,23689877.0,Sidney Lumet,0,81.0,Faye Dunaway,William Holden,Peter Finch,,Paddy Chayefsky,0,0,135434.0,Network,0.0,23689877.0,   R,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,1985,Japan,Japanese, Greenwich Film Productions,162.0,11500000.0,4135750.0,Akira Kurosawa,0,82.0,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,,Akira Kurosawa,Hideo Oguni,,102617.0,Ran,356722000.0,4160924.0,   R,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2001,Mexico,Spanish, Altavista Films,154.0,2000000.0,5408467.0,Alejandro G. Iñárritu,0,81.0,Emilio Echevarría,Gael García Bernal,Goya Toledo,,Guillermo Arriaga,0,0,211212.0,Amores Perros,6104712001.0,20908467.0,   R,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
209,2007,India,Hindi, Aamir Khan Productions,165.0,0.0,1223869.0,Aamir Khan,Amole Gupte,84.0,Darsheel Safary,Aamir Khan,Tisca Chopra,,Amole Gupte,Amole Gupte,0,149574.0,Taare Zameen Par,352568232007.0,21897373.0,   PG,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
210,1957,UK,English, Horizon Pictures (II),161.0,3000000.0,27200000.0,David Lean,0,81.0,William Holden,Alec Guinness,Jack Hawkins,,Pierre Boulle,Carl Foreman,,190626.0,The Bridge on the River Kwai,0.0,27200000.0,   PG,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,1949,UK,English, London Film Productions,104.0,0.0,1067364.0,Carol Reed,0,81.0,Orson Welles,Joseph Cotten,Alida Valli,,Graham Greene,Graham Greene,0,149153.0,The Third Man,1357691999.0,1225424.0,Not Rated,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
212,2012,India,Hindi, Jar Pictures,321.0,184000000.0,0.0,Anurag Kashyap,0,82.0,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,,Akhilesh Jaiswal,Anurag Kashyap,,72111.0,Gangs of Wasseypur,0.0,4384642.0,Not Rated,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,1967,Sweden,Swedish, American International Pictures (AIP),85.0,0.0,0.0,Ingmar Bergman,0,81.0,Bibi Andersson,Liv Ullmann,Margaretha Krook,,Ingmar Bergman,0,0,90892.0,Persona,0.0,12142.0,Not Rated,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
214,1936,USA,English, Charles Chaplin Productions,87.0,1500000.0,163577.0,Charles Chaplin,0,85.0,Charles Chaplin,Paulette Goddard,Henry Bergman,,Charles Chaplin,0,0,199009.0,Modern Times,35809282003.0,456009.0,   G,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
215,1958,USA,English, Edward Small Productions,116.0,3000000.0,0.0,Billy Wilder,0,84.0,Tyrone Power,Marlene Dietrich,Charles Laughton,,Agatha Christie,Billy Wilder,,96901.0,Witness for the Prosecution,0.0,7693.0,Not Rated,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
216,1941,USA,English, Charles Chaplin Productions,125.0,2000000.0,0.0,Charles Chaplin,0,85.0,Charles Chaplin,Paulette Goddard,Jack Oakie,,Charles Chaplin,0,0,187390.0,The Great Dictator,0.0,968897.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
217,1951,Japan,Japanese, Daiei Motion Picture Company,88.0,250000.0,46808.0,Akira Kurosawa,0,82.0,Toshirô Mifune,Machiko Kyô,Masayuki Mori,,Ryûnosuke Akutagawa,Akira Kurosawa,,140103.0,Rashômon,15942282002.0,46808.0,Not Rated,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
